comments,cleaned_comments,segmented_comments,filtered_comments
特朗普说自己的国家是控制疫情最好的国家。 刚开始我觉得好笑，顿了一下，我泪目了,特朗普说自己的国家是控制疫情最好的国家 刚开始我觉得好笑顿了一下我泪目了,特朗普 说 自己 的 国家 是 控制 疫情 最好 的 国家   刚 开始 我 觉得 好笑 顿 了 一下 我泪目 了,特朗普 说 国家 控制 疫情 国家 刚 好笑 顿 我泪目
人家讲真话的时候你们还笑话他[doge],人家讲真话的时候你们还笑话他doge,人家 讲 真话 的 时候 你们 还 笑话 他 doge,讲 真话 笑话 doge
建国说的可是“自己的”国家啊[大哭],建国说的可是自己的国家啊大哭,建国 说 的 可是 自己 的 国家 啊 大哭,建国 说 国家 大哭
哎，远方的游子啊[大哭][doge],哎远方的游子啊大哭doge,哎 远方 的 游子 啊 大哭 doge,远方 游子 大哭 doge
洋装虽然穿在身[滑稽],洋装虽然穿在身滑稽,洋装 虽然 穿 在 身 滑稽,洋装 穿 身 滑稽
美相缠身，心系祖国！,美相缠身心系祖国,美相 缠身 心系 祖国,美相 缠身 心系 祖国
事实上朝鲜也控制的很好[笑哭],事实上朝鲜也控制的很好笑哭,事实上 朝鲜 也 控制 的 很 好笑 哭,事实上 朝鲜 控制 好笑 哭
身在曹营心在汉[喜极而泣],身在曹营心在汉喜极而泣,身在曹营心在汉 喜极而泣,身在曹营心在汉 喜极而泣
这点儿小失败不算什么，看我建国同志4年后卷土重来[偷笑],这点儿小失败不算什么看我建国同志4年后卷土重来偷笑,这点儿 小 失败 不算什么 看 我 建国 同志 4 年 后 卷土重来 偷笑,这点儿 失败 不算什么 建国 同志 年 卷土重来 偷笑
回复 @真的很强 :我心依然是中国心[滑稽],回复 真的很强 我心依然是中国心滑稽,回复   真的 很强   我心 依然 是 中国 心 滑稽,回复 真的 很强 我心 依然 中国 心 滑稽
他还没有说哪个是他的祖国[doge],他还没有说哪个是他的祖国doge,他 还 没有 说 哪个 是 他 的 祖国 doge,说 祖国 doge
人家没说谎，你看你们玩梗把人家暴露了,人家没说谎你看你们玩梗把人家暴露了,人家 没 说谎 你 看 你们 玩 梗 把 人家 暴露 了,没 说谎 玩 梗 暴露
有多少真心话，以玩笑的方式说了出来[大哭],有多少真心话以玩笑的方式说了出来大哭,有 多少 真心话 以 玩笑 的 方式 说 了 出来 大哭,真心话 玩笑 方式 说 大哭
建国还在坚持，你们怎么就开始打退堂鼓了？？？你们这是什么行为？？？[doge][doge][doge],建国还在坚持你们怎么就开始打退堂鼓了你们这是什么行为dogedogedoge,建国 还 在 坚持 你们 怎么 就 开始 打退堂鼓 了 你们 这是 什么 行为 dogedogedoge,建国 打退堂鼓 这是 dogedogedoge
陛下正欲死战，尔等何故先降[热词系列_battle],陛下正欲死战尔等何故先降热词系列batle,陛下 正欲 死战 尔 等 何故 先 降热 词 系列 batle,陛下 正欲 死战 何故 先 降热 词 系列 batle
回复 @模拟原型机 :书店，无书，烧之[滑稽],回复 模拟原型机 书店无书烧之滑稽,回复   模拟 原型机   书店 无书烧 之 滑稽,回复 模拟 原型机 书店 无书烧 滑稽
别尬黑，我川宝还能翻[doge],别尬黑我川宝还能翻doge,别尬 黑 我川宝 还 能 翻 doge,别尬 黑 我川宝 翻 doge
奶一口川建国,奶一口川建国,奶 一口 川 建国,奶 一口 川 建国
懂王：你赢了大选和我当总统有什么关系[热词系列_锤],懂王你赢了大选和我当总统有什么关系热词系列锤,懂王 你 赢 了 大选 和 我 当 总统 有 什么 关系 热词 系列 锤,懂王 赢 大选 总统 关系 热词 系列 锤
🙌没有人 👐比我 ☝更懂 👌当总统[doge],没有人 比我 更懂 当总统doge,没有 人   比 我   更 懂   当 总统 doge,更 懂 总统 doge
海外忽传拜局定，初闻涕泪满衣裳。  却看川普愁何在，收拾行李喜欲狂。  白日放歌须纵酒，古来稀年好还乡。  即从太平穿东海，便走上海向京都。,海外忽传拜局定初闻涕泪满衣裳 却看川普愁何在收拾行李喜欲狂 白日放歌须纵酒古来稀年好还乡 即从太平穿东海便走上海向京都,海外 忽传 拜 局定 初闻 涕泪 满 衣裳   却 看川 普愁 何在 收拾 行李 喜欲狂   白日 放歌 须 纵酒 古来稀 年 好 还乡   即 从 太平 穿 东海 便 走 上海 向 京都,海外 忽传 拜 局定 初闻 涕泪 满 衣裳 看川 普愁 何在 收拾 行李 喜欲狂 白日 放歌 须 纵酒 古来稀 年 还乡 太平 穿 东海 便 走 上海 京都
《闻川普输美国大选》,闻川普输美国大选,闻川 普输 美国 大选,闻川 普输 美国 大选
杜甫:这我熟,杜甫这我熟,杜甫 这 我 熟,杜甫 熟
沈逸老师视频里说，只要有一个被川普查出来票有问题，川普就能把所有州的都翻了。川宝加油，把漂亮国搞乱[OK]1宪1政1危1机1,沈逸老师视频里说只要有一个被川普查出来票有问题川普就能把所有州的都翻了川宝加油把漂亮国搞乱OK1宪1政1危1机1,沈逸 老师 视频 里 说 只要 有 一个 被川 普查 出来 票有 问题 川普 就 能 把 所有 州 的 都 翻 了 川宝 加油 把 漂亮 国 搞乱 OK1 宪 1 政 1 危 1 机 1,沈逸 老师 视频 里 说 被川 普查 票有 川普 州 翻 川宝 加油 漂亮 国 搞乱 OK1 宪 政 危 机
回复 @余生Charles :问题是其他人没川普这么能搞,回复 余生Charles 问题是其他人没川普这么能搞,回复   余生 Charles   问题 是 其他人 没川普 这么 能 搞,回复 余生 Charles 其他人 没川普 搞
回复 @不做人了的莱肯 :特朗普能搞是因为他穷途末路，别无选择。 新闻无视他言论，推特发一条和谐一条。 共和党都要跟他划清界限了。 他已经是个弃子了。,回复 不做人了的莱肯 特朗普能搞是因为他穷途末路别无选择 新闻无视他言论推特发一条和谐一条 共和党都要跟他划清界限了 他已经是个弃子了,回复   不 做人 了 的 莱肯   特朗普 能 搞 是因为 他 穷途末路 别无选择   新闻 无视 他 言论 推 特发 一条 和谐 一条   共和党 都 要 跟 他 划清界限 了   他 已经 是 个 弃子 了,回复 做人 莱肯 特朗普 搞 是因为 穷途末路 别无选择 新闻 无视 言论 推 特发 一条 和谐 一条 共和党 划清界限 弃子
只要能拖延到11月，就存在可能，要知道选举人票还要再由真人再投一次，还有大法官也是建国同志任命的[OK],只要能拖延到1月就存在可能要知道选举人票还要再由真人再投一次还有大法官也是建国同志任命的OK,只要 能 拖延 到 1 月 就 存在 可能 要 知道 选举人 票 还要 再 由 真人 再 投 一次 还有 大法官 也 是 建国 同志 任命 的 OK,拖延 月 选举人 票 真人 投 大法官 建国 同志 任命 OK
回复 @余生Charles :共和党敢和川普划清界限，川普就敢带着6900万选民成立新党,回复 余生Charles 共和党敢和川普划清界限川普就敢带着690万选民成立新党,回复   余生 Charles   共和党 敢 和 川普 划清界限 川普 就 敢 带 着 690 万 选民 成立 新党,回复 余生 Charles 共和党 敢 川普 划清界限 川普 敢 带 690 万 选民 成立 新党
如果共和党全力支持特朗普，对抗拜登和民主党，即使是现在这个情况依旧能翻盘。只可惜共和党老早就开始和川普划清界限了，大选基本上就是川普一个人的奋战。川普现在已经墙倒众人推了，他说的话即使在理，也不一定会有人执行,如果共和党全力支持特朗普对抗拜登和民主党即使是现在这个情况依旧能翻盘只可惜共和党老早就开始和川普划清界限了大选基本上就是川普一个人的奋战川普现在已经墙倒众人推了他说的话即使在理也不一定会有人执行,如果 共和党 全力支持 特朗普 对抗 拜登 和 民主党 即使 是 现在 这个 情况 依旧 能 翻盘 只 可惜 共和党 老 早就 开始 和川普 划清界限 了 大选 基本上 就是 川普 一个 人 的 奋战 川普 现在 已经 墙倒众人推 了 他 说 的话 即使 在理 也 不 一定 会 有人 执行,共和党 全力支持 特朗普 对抗 拜登 民主党 情况 依旧 翻盘 可惜 共和党 老 早就 和川普 划清界限 大选 川普 奋战 川普 墙倒众人推 说 在理 有人 执行
回复 @余生Charles :特朗普能搞不是什么穷途末路，是他的支持者有大量死忠，为什么川普做了那么多不合理的事，还有那么多人支持他？因为美国的农民和右翼是真的把他当救世主，特朗普是美国近几任总统里，政治承诺兑现最多的，他让美国右翼和土生土长的美国人再一次感觉的国家是一个整体，而不是天天尊重女权，黑人平等给这些独立群体摇旗呐喊，说白了，他们同样受够了尼玛一堆特权群体，川普那种不讲道理，啥话都敢说的做法，让一大堆美国人无比亲切，这次如果没有黑手，理论上川普绝对要更有优势，乔治亚翻蓝就挺离谱的，还有凌晨4点的阴兵，等一个极右勤王,回复 余生Charles 特朗普能搞不是什么穷途末路是他的支持者有大量死忠为什么川普做了那么多不合理的事还有那么多人支持他因为美国的农民和右翼是真的把他当救世主特朗普是美国近几任总统里政治承诺兑现最多的他让美国右翼和土生土长的美国人再一次感觉的国家是一个整体而不是天尊重女权黑人平等给这些独立群体摇旗呐喊说白了他们同样受够了尼玛一堆特权群体川普那种不讲道理啥话都敢说的做法让一大堆美国人无比亲切这次如果没有黑手理论上川普绝对要更有优势乔治亚翻蓝就挺离谱的还有凌晨4点的阴兵等一个极右勤王,回复   余生 Charles   特朗普 能 搞 不是 什么 穷途末路 是 他 的 支持者 有 大量 死忠 为什么 川普 做 了 那么 多 不合理 的 事 还有 那么 多人 支持 他 因为 美国 的 农民 和 右翼 是 真的 把 他 当 救世主 特朗普 是 美国 近 几任 总统 里 政治 承诺 兑现 最多 的 他 让 美国 右翼 和 土生土长 的 美国 人 再 一次 感觉 的 国家 是 一个 整体 而 不是 天 尊重 女权 黑人 平等 给 这些 独立 群体 摇旗呐喊 说白了 他们 同样 受够了 尼玛 一堆 特权 群体 川普 那种 不讲道理 啥 话 都 敢 说 的 做法 让 一大堆 美国 人 无比 亲切 这次 如果 没有 黑手 理论 上川普 绝对 要 更 有 优势 乔治亚 翻蓝 就 挺 离谱 的 还有 凌晨 4 点 的 阴兵 等 一个 极右 勤王,回复 余生 Charles 特朗普 搞 穷途末路 支持者 死忠 川普 做 不合理 事 多人 支持 美国 农民 右翼 真的 救世主 特朗普 美国 近 几任 总统 里 政治 承诺 兑现 最多 美国 右翼 土生土长 美国 感觉 国家 整体 天 尊重 女权 黑人 平等 独立 群体 摇旗呐喊 说白了 受够了 尼玛 一堆 特权 群体 川普 那种 不讲道理 话 敢 说 做法 一大堆 美国 无比 亲切 黑手 理论 上川普 更 优势 乔治亚 翻蓝 挺 离谱 凌晨 点 阴兵 极右 勤王
回复 @余生Charles :你难道以为没有？建议去翻油管或者问住美国的朋友，川普在农民和极右里的死忠多了去了，人家就不觉得川普疫情哪儿做错了，无非是去见上帝，得病死人人家觉得合理，川普给了他们实打实的利益，而极右更是早他么白人主义憋久了，3K党带头封路威胁州长，绑票，你以为人真做不出来？别拿你东方思维去打量西方，人皿煮自由，不支持拜登就是要闹事，只要被川普找到一个计票问题，有证据，那他就可以拖着要求重新计票，媒体走起推特封他那是肯定的，为啥拜登这么多人造势，因为那些个明星和精英，他们赚钱的一个大旗就是“民主”“平等”，川普让他们赚少了，当然带头反对，这些人压根不是支持拜登，纯粹反对川普，说白了，这会儿别说是拜登，就算一头猪去竞选，他们也要投猪，反正不投川普，这就是自由的选举[2233娘_大笑],回复 余生Charles 你难道以为没有建议去翻油管或者问住美国的朋友川普在农民和极右里的死忠多了去了人家就不觉得川普疫情哪儿做错了无非是去见上帝得病死人家觉得合理川普给了他们实打实的利益而极右更是早他么白人主义憋久了3K党带头封路威胁州长绑票你以为人真做不出来别拿你东方思维去打量西方人皿煮自由不支持拜登就是要闹事只要被川普找到一个计票问题有证据那他就可以拖着要求重新计票媒体走起推特封他那是肯定的为啥拜登这么多人造势因为那些个明星和精英他们赚钱的一个大旗就是民主平等川普让他们赚少了当然带头反对这些人压根不是支持拜登纯粹反对川普说白了这会儿别说是拜登就算一头猪去竞选他们也要投猪反正不投川普这就是自由的选举23娘大笑,回复   余生 Charles   你 难道 以为 没有 建议 去 翻 油管 或者 问 住 美国 的 朋友 川普 在 农民 和 极右 里 的 死忠 多 了 去 了 人家 就 不 觉得 川普 疫情 哪儿 做错 了 无非 是 去 见上帝 得 病死 人家 觉得 合理 川普 给 了 他们 实打实 的 利益 而 极右 更是 早 他 么 白人 主义 憋 久 了 3 K党 带头 封路 威胁 州长 绑票 你 以为 人真 做 不 出来 别 拿 你 东方 思维 去 打量 西方人 皿 煮 自由 不 支持 拜登 就是 要 闹事 只要 被川普 找到 一个 计票 问题 有 证据 那 他 就 可以 拖 着 要求 重新 计票 媒体 走起 推特封 他 那 是 肯定 的 为啥 拜登 这么 多人 造势 因为 那些 个 明星 和 精英 他们 赚钱 的 一个 大旗 就是 民主 平等 川普 让 他们 赚少 了 当然 带头 反对 这些 人 压根 不是 支持 拜登 纯粹 反对 川普 说白了 这会儿 别说 是 拜登 就算 一头 猪 去 竞选 他们 也 要 投猪 反正 不 投川普 这 就是 自由 的 选举 23 娘 大笑,回复 余生 Charles 建议 翻 油管 问 住 美国 朋友 川普 农民 极右 里 死忠 川普 疫情 做错 无非 见上帝 病死 川普 实打实 利益 极右 更是 早 白人 主义 憋 久 K党 带头 封路 威胁 州长 绑票 人真 做 东方 思维 打量 西方人 皿 煮 自由 支持 拜登 闹事 被川普 找到 计票 证据 拖 计票 媒体 走起 推特封 肯定 为啥 拜登 多人 造势 明星 精英 赚钱 大旗 民主 平等 川普 赚少 带头 反对 压根 支持 拜登 反对 川普 说白了 拜登 一头 猪 竞选 投猪 反正 投川普 自由 选举 23 娘 大笑
支持留学生日报[呲牙]  川宝上一次获胜靠的是农村包围城市[微笑]。  靠赢得了广大底层美国人民的支持而胜利。  我建议这次可以走到武装夺取郑权这一步嘛[歪嘴]。  可以依靠3K党与民兵之类的“人民武装”来保卫华盛顿，保卫最高统帅[呲牙]  我看行[OK],支持留学生日报呲牙 川宝上一次获胜靠的是农村包围城市微笑 靠赢得了广大底层美国人民的支持而胜利 我建议这次可以走到武装夺取郑权这一步嘛歪嘴 可以依靠3K党与民兵之类的人民武装来保卫华盛顿保卫最高统帅呲牙 我看行OK,支持 留学生 日报 呲 牙   川宝 上 一次 获胜 靠 的 是 农村 包围 城市 微笑   靠 赢得 了 广大 底层 美国 人民 的 支持 而 胜利   我 建议 这次 可以 走 到 武装 夺取 郑权 这 一步 嘛 歪嘴   可以 依靠 3 K党 与 民兵 之类 的 人民武装 来 保卫 华盛顿 保卫 最高 统帅 呲 牙   我 看行 OK,支持 留学生 日报 呲 牙 川宝 获胜 农村 包围 城市 微笑 赢得 底层 美国 人民 支持 胜利 建议 走 武装 夺取 郑权 一步 歪嘴 K党 民兵 人民武装 保卫 华盛顿 保卫 统帅 呲 牙 看行 OK
集结大兵渡过密西西比河翻越阿巴拉契亚山直取拜登项上人头[doge],集结大兵渡过密西比河翻越阿巴拉契亚山直取拜登项上人头doge,集结 大兵 渡过 密西 比河 翻越 阿巴拉契亚 山 直取 拜登 项上 人头 doge,集结 大兵 渡过 密西 比河 翻越 阿巴拉契亚 山 直取 拜登 项上 人头 doge
既然已经实现农村包围城市，就继续实践下一句话么，哈哈哈,既然已经实现农村包围城市就继续实践下一句话么哈,既然 已经 实现 农村 包围 城市 就 继续 实践 下 一句 话 么 哈,农村 包围 城市 实践 一句 话
百万人民军强渡密西西比河[doge],百万人民军强渡密西比河doge,百万 人民军 强渡 密西 比河 doge,百万 人民军 强渡 密西 比河 doge
我很担心特朗普不服，复查投票，上诉最高院，拜登却潇洒登台，proud boys打砸抢，红蓝两派彻底撕破脸，全面内战，伟大的美国被迫分裂成两个国家……  最终导致中国男足男篮世界排名下降一位[大哭],我很担心特朗普不服复查投票上诉最高院拜登却潇洒登台proud boys打砸抢红蓝两派彻底撕破脸全面内战伟大的美国被迫分裂成两个国家 最终导致中国男足男篮世界排名下降一位大哭,我 很 担心 特朗普 不服 复查 投票 上诉 最高院 拜登 却 潇洒 登台 proud   boys 打砸抢 红蓝 两派 彻底 撕破脸 全面 内战 伟大 的 美国 被迫 分裂 成 两个 国家   最终 导致 中国男足 男篮 世界排名 下降 一位 大哭,担心 特朗普 不服 复查 投票 上诉 最高院 拜登 潇洒 登台 proud boys 打砸抢 红蓝 两派 撕破脸 内战 美国 被迫 分裂 成 两个 国家 最终 导致 中国男足 男篮 世界排名 下降 一位 大哭
下降五十多名才好呢,下降五十多名才好呢,下降 五十多名 才 好 呢,下降 五十多名
回复 @禅野 :卧槽不愧是五级号,回复 禅野 卧槽不愧是五级号,回复   禅野   卧槽 不愧 是 五级 号,回复 禅野 卧槽 不愧 五级 号
回复 @禅野 :真就看热闹不嫌事大呗[妙啊][妙啊],回复 禅野 真就看热闹不嫌事大呗妙啊妙啊,回复   禅野   真 就 看热闹 不嫌 事大 呗 妙 啊 妙 啊,回复 禅野 真 看热闹 不嫌 事大 妙 妙
回复 @禅野 :不至于不至于[歪嘴][歪嘴],回复 禅野 不至于不至于歪嘴歪嘴,回复   禅野   不至于 不至于 歪嘴 歪嘴,回复 禅野 歪嘴 歪嘴
别担心，国足打不进世界赛[doge],别担心国足打不进世界赛doge,别 担心 国足 打不进 世界 赛 doge,担心 国足 打不进 世界 赛 doge
看我川宝绝地反杀[doge],看我川宝绝地反杀doge,看 我川宝 绝地 反杀 doge,我川宝 绝地 反杀 doge
手握推特治国家，世间无我这般人。 ——川普,手握推特治国家世间无我这般人 川普,手握 推特治 国家 世间 无 我 这般 人   川普,手握 推特治 国家 世间 川普
墙倒众人推，推特准备给他封号了,墙倒众人推特准备给他封号了,墙倒众人推 特 准备 给 他 封号 了,墙倒众人推 特 封号
回复 @哔哔哔盗圣 :这什么众人推，明明遭到资本家的集体绞杀,回复 哔盗圣 这什么众人推明遭到资本家的集体绞杀,回复   哔盗 圣   这 什么 众人 推明 遭到 资本家 的 集体 绞杀,回复 哔盗 圣 众人 推明 资本家 集体 绞杀
给我收回去！川皇没有败！刚才演到枪在手，你跟我发演员表？,给我收回去川皇没有败刚才演到枪在手你跟我发演员表,给 我 收回 去川皇 没有 败 刚才 演到 枪 在手 你 跟 我发 演员表,收回 去川皇 败 演到 枪 在手 我发 演员表
枪在手，跟我走。杀拜登，抢白楼！[OK],枪在手跟我走杀拜登抢白楼OK,枪 在手 跟我走 杀 拜登 抢白 楼 OK,枪 在手 跟我走 杀 拜登 抢白 楼 OK
这个视频是不是准备很久了[doge],这个视频是不是准备很久了doge,这个 视频 是不是 准备 很久 了 doge,视频 很久 doge
也许做了两版本[doge],也许做了两版本doge,也许 做 了 两 版本 doge,也许 做 两 版本 doge
假如你是李明 你的朋友唐纳德特朗普输掉了大选 请你写封信安慰他，字数120个左右。,假如你是李明 你的朋友唐纳德特朗普输掉了大选 请你写封信安慰他字数120个左右,假如 你 是 李明   你 的 朋友 唐纳德 特朗普 输掉 了 大选   请 你 写封信 安慰 他 字数 120 个 左右,李明 朋友 唐纳德 特朗普 输掉 大选 请 写封信 安慰 字数 120
尊敬的特朗普同志，党和人民向您致敬。您的光辉岁月为祖国和地球带来了和平，您的时代是我们在伟大的文明复兴和帝国主义衰落中取得进一步进步的契机。您的贡献将永垂不朽，您的名字将闪耀在任何一个愿意看到和平与进步时代的人的头上。中华人民共和国万岁，国际团结万岁。 中共中央政治局 中华人民共和国国务院 全世界无产阶级,尊敬的特朗普同志党和人民向您致敬您的光辉岁月为祖国和地球带来了和平您的时代是我们在伟大的文明复兴和帝国主义衰落中取得进一步进步的契机您的贡献将永垂不朽您的名字将闪耀在任何一个愿意看到和平与进步时代的人的头上中华人民共和国万岁国际团结万岁 中共中央政治局 中华人民共和国务院 全世界无产阶级,尊敬 的 特朗普 同志 党和人民 向 您 致敬 您 的 光辉 岁月 为 祖国 和 地球 带来 了 和平 您 的 时代 是 我们 在 伟大 的 文明 复兴 和 帝国主义 衰落 中 取得 进一步 进步 的 契机 您 的 贡献 将 永垂不朽 您 的 名字 将 闪耀 在 任何 一个 愿意 看到 和平 与 进步 时代 的 人 的 头上 中华人民共和国 万岁 国际 团结 万岁   中共中央政治局   中华人民共和国 务院   全世界 无产阶级,尊敬 特朗普 同志 党和人民 致敬 光辉 岁月 祖国 地球 带来 和平 时代 文明 复兴 帝国主义 衰落 中 进一步 契机 贡献 永垂不朽 名字 闪耀 和平 时代 头上 中华人民共和国 万岁 国际 团结 万岁 中共中央政治局 中华人民共和国 务院 全世界 无产阶级
川建国，不要放弃，想想130年前，格列佛克利夫兰在第二次大选中输给了本杰明哈里森，可是在第三次大选中，再次卷土重来，重新上任，成为美国历史上唯一两次上任的总统。但愿你也能创造这个奇迹,川建国不要放弃想130年前格列佛克利夫兰在第二次大选中输给了本杰明哈里森可是在第三次大选中再次卷土重来重新上任成为美国历史上唯一两次上任的总统但愿你也能创造这个奇迹,川 建国 不要 放弃 想 130 年前 格列佛 克利夫兰 在 第二次 大选 中 输给 了 本杰明 哈里森 可是 在 第三次 大选 中 再次 卷土重来 重新 上任 成为 美国 历史 上 唯一 两次 上任 的 总统 但愿 你 也 能 创造 这个 奇迹,川 建国 放弃 想 130 年前 格列佛 克利夫兰 第二次 大选 中 输给 本杰明 哈里森 第三次 大选 中 卷土重来 上任 美国 历史 唯一 两次 上任 总统 创造 奇迹
川普说想上总统山，大家都当看笑话，万一川普真的干翻了拜登，还真能上总统山,川普说想上总统山大家都当看笑话万一川普真的干翻了拜登还真能上总统山,川普说 想 上 总统 山 大家 都 当 看笑话 万一 川普 真的 干翻 了 拜登 还 真能 上 总统 山,川普说 想 总统 山 看笑话 川普 真的 干翻 拜登 真能 总统 山
