comments,cleaned_comments,segmented_comments,filtered_comments
据福克斯新闻刚刚消息，美国共和党总统候选人特朗普称，选举远没有结果，拜登正急于“假装”成赢家。 特朗普在声明中称，“我们都知道为什么乔·拜登正急于假装成赢家，为什么他的媒体盟友正努力帮助他：他们不希望真相被揭露出来。简单的事实就是，这场选举还远远没有结束。”,据福克斯新闻刚消息美国共和党总统候选人特朗普称选举远没有结果拜登正急于假装成赢家 特朗普在声明中称我们都知道为什么乔拜登正急于假装成赢家为什么他的媒体盟友正努力帮助他们不希望真相被揭露出来简单的事实就是这场选举还远没有结束,据 福克斯 新闻 刚 消息 美国共和党 总统 候选人 特朗普 称 选举 远 没有 结果 拜登 正 急于 假装 成 赢家   特朗普 在 声明 中称 我们 都 知道 为什么 乔 拜登 正 急于 假装 成 赢家 为什么 他 的 媒体 盟友 正 努力 帮助 他们 不 希望 真相 被 揭露 出来 简单 的 事实 就是 这场 选举 还远 没有 结束,福克斯 新闻 刚 消息 美国共和党 总统 候选人 特朗普 称 选举 远 拜登 正 急于 假装 成 赢家 特朗普 声明 中称 乔 拜登 正 急于 假装 成 赢家 媒体 盟友 正 努力 希望 真相 揭露 简单 事实 这场 选举 还远 结束
先插眼，赌一波建国翻盘[doge],先插眼赌一波建国翻盘doge,先 插眼 赌 一波 建国 翻盘 doge,先 插眼 赌 一波 建国 翻盘 doge
全红了，川宝绝地翻盘了，什么，我看的是美国疫情图，那没事了,全红了川宝绝地翻盘了什么我看的是美国疫情图那没事了,全红 了 川宝 绝地 翻盘 了 什么 我 看 的 是 美国 疫情 图 那 没事 了,全红 川宝 绝地 翻盘 美国 疫情 图 没事
密歇根事件发生了！川宝还没输！ 快进入剧情高潮期啊，漂亮国的内战！,密歇根事件发生了川宝还没输 快进入剧情高潮期啊漂亮国的内战,密歇根 事件 发生 了 川宝 还 没输   快 进入 剧情 高潮期 啊 漂亮 国 的 内战,密歇根 事件 发生 川宝 没输 快 剧情 高潮期 漂亮 国 内战
全球传媒业即将迎来业绩清零之沉重打击。[热词系列_好家伙],全球传媒业即将迎来业绩清零之沉重打击热词系列好家伙,全球 传媒业 即将 迎来 业绩 清零 之 沉重打击 热词 系列 好家伙,全球 传媒业 迎来 业绩 清零 沉重打击 热词 系列 好家伙
我觉得可能有生之年都不会再遇到这么有趣的总统了[大哭][大哭],我觉得可能有生之年都不会再遇到这么有趣的总统了大哭大哭,我 觉得 可能 有生之年 都 不会 再 遇到 这么 有趣 的 总统 了 大哭 大哭,有生之年 有趣 总统 大哭 大哭
我怀疑这个视频早就提前做好了，就等着官宣后直接发布[doge],我怀疑这个视频早就提前做好了就等着官宣后直接发布doge,我 怀疑 这个 视频 早就 提前 做好 了 就 等 着 官 宣后 直接 发布 doge,怀疑 视频 早就 提前 做好 官 宣后 发布 doge
川宝这一下台，突然觉得以后没什么乐趣了哈哈哈哈，又要看一本正经的fake news了[喜极而泣][笑哭],川宝这一下台突然觉得以后没什么乐趣了哈又要看一本正经的fake news了喜极而泣笑哭,川宝 这一下 台 突然 觉得 以后 没什么 乐趣 了 哈 又 要 看 一本正经 的 fake   news 了 喜极而泣 笑 哭,川宝 这一下 台 没什么 乐趣 一本正经 fake news 喜极而泣 笑 哭
永失我川,永失我川,永失 我川,永失 我川
假如你是李华，你最好的朋友唐纳德·特朗普在美国大选中不幸失败，没有连任总统。他现在非常伤心，请你写一封信安慰他。 要点： 1.字数不少于120字。 2.鼓励你的好朋友振作起来，下次努力。 （开头和结尾已给出，不计入总字数） Dear Trump:,假如你是李华你最好的朋友唐纳德特朗普在美国大选中不幸失败没有连任总统他现在非常伤心请你写一封信安慰他 要点 1字数不少于120字 2鼓励你的好朋友振作起来下次努力 开头和结尾已给出不计入总字数 Dear Trump,假如 你 是 李华 你 最好 的 朋友 唐纳德 特朗普 在 美国 大选 中 不幸 失败 没有 连任 总统 他 现在 非常 伤心 请 你 写 一封信 安慰 他   要点   1 字数 不少 于 120 字   2 鼓励 你 的 好 朋友 振作起来 下次 努力   开头 和 结尾 已 给出 不 计入 总 字数   Dear   Trump,李华 朋友 唐纳德 特朗普 美国 大选 中 不幸 失败 连任 总统 伤心 请 写 一封信 安慰 要点 字数 120 字 鼓励 朋友 振作起来 下次 努力 开头 结尾 给出 计入 总 字数 Dear Trump
川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝 川宝[大哭]我的川宝,川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝 川宝大哭我的川宝,川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝   川宝 大哭 我 的 川宝,川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝 川宝 大哭 川宝
我叫拜登 我叫川普 我七十七 我七十五 我属鸡 我属虎 我代表共和 我代表民主,我叫拜登 我叫川普 我七十七 我七十五 我属鸡 我属虎 我代表共和 我代表民主,我 叫 拜登   我 叫川普   我 七十七   我 七十五   我 属鸡   我 属 虎   我 代表 共和   我 代表 民主,拜登 叫川普 七十七 七十五 属鸡 属 虎 代表 共和 代表 民主
再见（x） 欢迎回家（✓）,再见x 欢迎回家,再见 x   欢迎 回家,再见 x 回家
艹，公知要卷土重来，川普把公知的钱断了，拜登又要发钱了！大家看到公知，建一个，打一个！,艹公知要卷土重来川普把公知的钱断了拜登又要发钱了大家看到公知建一个打一个,艹 公知 要 卷土重来 川普 把 公知 的 钱断 了 拜登 又 要 发钱 了 大家 看到 公知建 一个打 一个,艹 公知 卷土重来 川普 公知 钱断 拜登 发钱 公知建 一个打
伟大美利坚竟容不下两个总统？？[doge],伟大美利坚竟容不下两个总统doge,伟大 美利坚 竟 容不下 两个 总统 doge,美利坚 竟 容不下 两个 总统 doge
安倍:哟，特朗普先生，您好您好您好，有什么能够帮到您 特朗普:我要说的事，你们千万别害怕 安倍:我们是总统，我们不会怕，您请说 特朗普:就在刚才，拜登获选了 (战术后仰) 安倍:额……拜登是哪位？ 特朗普:不是哪位，是民主党像猪一样边睡边演讲的拜登 奥巴马:画出蓬佩奥 特朗普:不是猪只是像猪 奥巴马:画出希拉里 特朗普:不是女的是个老头 奥巴马:画出特朗普 特朗普:这？ 安倍:画出小泉纯一郎 特朗普:拜登啊！大选有没有看？就是那个78岁喜欢戴口罩说话都没力气的拜登啊，明白吗 安倍:明白了，您继续说 特朗普:他疯狂得针对我，说我离谱，试问谁不知道啊，然后邮寄选票，就在宾夕法尼亚那里，全部都是阴兵票，还有黑命贵，黑命贵！选票那么多，直接投拜登，警察拿起枪，然后打光子弹，蹦的一下，然后滨州就变蓝了，我就像人…… 奥巴马:噗…… 特朗普:你在笑什么 奥巴马:我想起高兴的事情 特朗普:什么高兴的事 奥巴马:我当了8年美国总统 安倍:噗哈哈 特朗普:你又在笑什么 安倍:我也当了8年日本首相 特朗普:所以……你们都连任了？ 安倍奥巴马:对对对……， 安倍:不，我是主动辞职 特朗普:我在重申一遍，我没在开玩笑！ 奥巴马:对对……哈哈 特朗普:喂！！！！ 安倍:额，我们言归正传，那个，您刚才说的这个拜登，他厉害吗 特朗普:他不是厉不厉害的问题，他真的是那种，那种很少见的那种，他边演讲边做梦，喜欢戴口罩，左手黑命贵，右手阴兵票，搞偷袭，遗憾的是变蓝的速度太快，我半夜4点睡觉没来得及发推就落选了。 奥巴马:噗哈哈 特朗普:你欺人太甚我忍你很久了！ 奥巴马:我当了8年美国总统 特朗普:你明明在笑我，你都没停过！ 奥巴马:川建国，我们受过严格的训练，无论多好笑我们都不会笑，除非忍不住 安倍:不如这样，川宝，你先带人去法院闹，我们这边红脖子枪到位了就出发。 特朗普:行，你们赶紧闹事，很危险的多带点人！ 房间:哈哈哈哈哈哈哈哈哈哈哈 特朗普:？？？？ (川建国还需要解雇福奇吗) 房间:哈哈哈哈哈哈哈哈哈哈哈 特朗普:？？？？ (要不把口罩带上？),安倍哟特朗普先生您好您好您好有什么能够帮到您 特朗普我要说的事你们千万别害怕 安倍我们是总统我们不会怕您请说 特朗普就在刚才拜登获选了 战术后仰 安倍额拜登是哪位 特朗普不是哪位是民主党像猪一样边睡边演讲的拜登 奥巴马画出蓬佩奥 特朗普不是猪只是像猪 奥巴马画出希拉里 特朗普不是女的是个老头 奥巴马画出特朗普 特朗普这 安倍画出小泉纯一郎 特朗普拜登啊大选有没有看就是那个78岁喜欢戴口罩说话都没力气的拜登啊明白吗 安倍明白了您继续说 特朗普他疯狂得针对我说我离谱试问谁不知道啊然后邮寄选票就在宾夕法尼亚那里全部都是阴兵票还有黑命贵黑命贵选票那么多直接投拜登警察拿起枪然后打光子弹蹦的一下然后滨州就变蓝了我就像人 奥巴马噗 特朗普你在笑什么 奥巴马我想起高兴的事情 特朗普什么高兴的事 奥巴马我当了8年美国总统 安倍噗哈 特朗普你又在笑什么 安倍我也当了8年日本首相 特朗普所以你们都连任了 安倍奥巴马对 安倍不我是主动辞职 特朗普我在重申一遍我没在开玩笑 奥巴马对哈 特朗普喂 安倍额我们言归正传那个您刚才说的这个拜登他厉害吗 特朗普他不是厉不厉害的问题他真的是那种那种很少见的那种他边演讲边做梦喜欢戴口罩左手黑命贵右手阴兵票搞偷袭遗憾的是变蓝的速度太快我半夜4点睡觉没来得及发推就落选了 奥巴马噗哈 特朗普你欺人太甚我忍你很久了 奥巴马我当了8年美国总统 特朗普你明在笑我你都没停过 奥巴马川建国我们受过严格的训练无论多好笑我们都不会笑除非忍不住 安倍不如这样川宝你先带人去法院闹我们这边红脖子枪到位了就出发 特朗普行你们赶紧闹事很危险的多带点人 房间哈 特朗普 川建国还需要解雇福奇吗 房间哈 特朗普 要不把口罩带上,安倍 哟 特朗普 先生 您好 您好 您好 有 什么 能够 帮到 您   特朗普 我 要说 的 事 你们 千万别 害怕   安倍 我们 是 总统 我们 不会 怕 您 请 说   特朗普 就 在 刚才 拜登 获选 了   战术 后仰   安倍 额 拜登 是 哪位   特朗普 不是 哪位 是 民主党 像 猪 一样 边 睡边 演讲 的 拜登   奥巴马 画出 蓬佩奥   特朗普 不是 猪 只是 像 猪   奥巴马 画出 希拉里   特朗普 不是 女 的 是 个 老头   奥巴马 画出 特朗普   特朗普 这   安倍 画出 小泉 纯一 郎   特朗普 拜登 啊 大选 有没有 看 就是 那个 78 岁 喜欢 戴 口罩 说话 都 没 力气 的 拜登 啊 明白 吗   安倍 明白 了 您 继续 说   特朗普 他 疯狂 得 针对 我 说 我 离谱 试问 谁 不 知道 啊 然后 邮寄 选票 就 在 宾夕法尼亚 那里 全部都是 阴兵 票 还有 黑命贵 黑命贵 选票 那么 多 直接 投 拜登 警察 拿 起枪 然后 打光 子弹 蹦 的 一下 然后 滨州 就 变 蓝 了 我 就 像 人   奥巴马 噗   特朗普 你 在 笑 什么   奥巴马 我 想起 高兴 的 事情   特朗普 什么 高兴 的 事   奥巴马 我 当 了 8 年 美国 总统   安倍 噗哈   特朗普 你 又 在 笑 什么   安倍 我 也 当 了 8 年 日本首相   特朗普 所以 你们 都 连任 了   安倍 奥巴马 对   安倍 不 我 是 主动 辞职   特朗普 我 在 重申 一遍 我 没 在 开玩笑   奥巴马 对哈   特朗普 喂   安倍 额 我们 言归正传 那个 您 刚才 说 的 这个 拜登 他 厉害 吗   特朗普 他 不是 厉不 厉害 的 问题 他 真的 是 那种 那种 很少 见 的 那种 他边 演讲 边 做梦 喜欢 戴 口罩 左手 黑命贵 右手 阴兵 票 搞 偷袭 遗憾 的 是 变 蓝 的 速度 太快 我 半夜 4 点 睡觉 没 来得及 发推 就 落选 了   奥巴马 噗哈   特朗普 你 欺人太甚 我忍 你 很 久 了   奥巴马 我 当 了 8 年 美国 总统   特朗普 你明 在 笑 我 你 都 没 停过   奥巴马 川 建国 我们 受过 严格 的 训练 无论 多 好笑 我们 都 不会 笑 除非 忍不住   安倍 不如 这样 川宝 你 先带 人 去 法院 闹 我们 这边 红 脖子 枪 到位 了 就 出发   特朗普 行 你们 赶紧 闹事 很 危险 的 多 带点 人   房间 哈   特朗普   川 建国 还 需要 解雇 福奇 吗   房间 哈   特朗普   要 不 把 口罩 带上,安倍 特朗普 您好 您好 您好 帮到 特朗普 要说 事 千万别 害怕 安倍 总统 怕 请 说 特朗普 拜登 获选 战术 后仰 安倍 额 拜登 哪位 特朗普 哪位 民主党 猪 睡边 演讲 拜登 奥巴马 画出 蓬佩奥 特朗普 猪 猪 奥巴马 画出 希拉里 特朗普 女 老头 奥巴马 画出 特朗普 特朗普 安倍 画出 小泉 纯一 郎 特朗普 拜登 大选 有没有 78 岁 喜欢 戴 口罩 说话 没 力气 拜登 明白 安倍 明白 说 特朗普 疯狂 说 离谱 试问 邮寄 选票 宾夕法尼亚 全部都是 阴兵 票 黑命贵 黑命贵 选票 投 拜登 警察 起枪 打光 子弹 蹦 滨州 变 蓝 奥巴马 噗 特朗普 笑 奥巴马 想起 事情 特朗普 事 奥巴马 年 美国 总统 安倍 噗哈 特朗普 笑 安倍 年 日本首相 特朗普 连任 安倍 奥巴马 安倍 主动 辞职 特朗普 重申 一遍 没 开玩笑 奥巴马 对哈 特朗普 安倍 额 言归正传 说 拜登 厉害 特朗普 厉不 厉害 真的 那种 那种 见 那种 他边 演讲 做梦 喜欢 戴 口罩 左手 黑命贵 右手 阴兵 票 搞 偷袭 遗憾 变 蓝 速度 太快 半夜 点 睡觉 没 发推 落选 奥巴马 噗哈 特朗普 欺人太甚 我忍 久 奥巴马 年 美国 总统 特朗普 你明 笑 没 停过 奥巴马 川 建国 受过 训练 好笑 笑 忍不住 安倍 川宝 先带 法院 闹 红 脖子 枪 到位 出发 特朗普 行 赶紧 闹事 危险 带点 房间 特朗普 川 建国 解雇 福奇 房间 特朗普 口罩 带上
fake news！一切以新华社通稿为准[doge][doge][doge],fake news一切以新华社通稿为准dogedogedoge,fake   news 一切 以 新华社 通稿 为准 dogedogedoge,fake news 新华社 通稿 为准 dogedogedoge
我的邻居是个奇怪的人，一个金发的外国人，却说着流利的普通话。他的出现和消失都是个迷。我至今都忘不了他。 那天，我隔壁空房里突然传来了手风琴的声音，推门进去，一个金发的中年男子坐在角落弹奏，身形瘦削，背有些微弓，但看得出他尽力坐的笔直，一副金框的眼镜有些格格不入。我有些尴尬，他却彬彬有礼跟我点头致意说弹的不好请见谅。待他一曲奏完，他起身倒了杯水端给入神的我，说他叫老唐。 老唐从不提起他的身世，我们也曾怀疑过他是间谍之类，但是居委会王阿姨却告诉我们，他有党籍。我那时还小，平时放学经常去听老唐拉手风琴，老唐每次都起身给我拿吃的，整整我胸前的红领巾，再继续演奏。 印象最深的是有一天，楼上李奶奶买菜回来发现家着火了，李奶奶在门口又急又惊，说自己的猫还在屋里。老唐听罢，拎起灭火器冲了进去。他出来的时候，手和脸已经被熏的乌黑，连眼镜都黑了，怀里抱着奄奄一息的小猫。我只记得那天消防员叔叔把楼上喷的满是泡沫，还有老唐突然变黑的脸。后来老唐从医院回来了，但是他的皮肤变的蜡黄，只有眼镜遮挡的部分还是原来的肤色。我当时还笑他是熊猫。  他消失那天是个秋天。我记得有一天我又去他家听他演奏，但是一进门就发现他没戴眼镜，因为他的熊猫眼格外显眼。那天我吃面包把碎屑掉在了红领巾上，他笑着摇摇头，整理好我的红领巾，突然严肃地说，答应我，不要对不起红领巾。我愣住了，他又恢复了微笑，说了句“我也是”。他开始背对着我拉着琴，有一丝微微颤抖。窗边落叶飘进来一片，他捡起来小心放进琴盒里，却又摇了摇头把它拿出来，轻轻丢出窗外。后来发生什么，我记不起了。 后来，我再也没见过他，连居委会王阿姨都不知道他去了哪里。,我的邻居是个奇怪的人一个金发的外国人却说着流利的普通话他的出现和消失都是个迷我至今都忘不了他 那天我隔壁空房里突然传来了手风琴的声音推门进去一个金发的中年男子坐在角落弹奏身形瘦削背有些微弓但看得出他尽力坐的笔直一副金框的眼镜有些格不入我有些尴尬他却彬有礼跟我点头致意说弹的不好请见谅待他一曲奏完他起身倒了杯水端给入神的我说他叫老唐 老唐从不提起他的身世我们也曾怀疑过他是间谍之类但是居委会王阿姨却告诉我们他有党籍我那时还小平时放学经常去听老唐拉手风琴老唐每次都起身给我拿吃的整我胸前的红领巾再继续演奏 印象最深的是有一天楼上李奶买菜回来发现家着火了李奶在门口又急又惊说自己的猫还在屋里老唐听罢拎起灭火器冲了进去他出来的时候手和脸已经被熏的乌黑连眼镜都黑了怀里抱着奄一息的小猫我只记得那天消防员叔把楼上喷的满是泡沫还有老唐突然变黑的脸后来老唐从医院回来了但是他的皮肤变的蜡黄只有眼镜遮挡的部分还是原来的肤色我当时还笑他是熊猫 他消失那天是个秋天我记得有一天我又去他家听他演奏但是一进门就发现他没戴眼镜因为他的熊猫眼格外显眼那天我吃面包把碎屑掉在了红领巾上他笑着摇头整理好我的红领巾突然严肃地说答应我不要对不起红领巾我愣住了他又恢复了微笑说了句我也是他开始背对着我拉着琴有一丝微颤抖窗边落叶飘进来一片他捡起来小心放进琴盒里却又摇了摇头把它拿出来轻丢出窗外后来发生什么我记不起了 后来我再也没见过他连居委会王阿姨都不知道他去了哪里,我 的 邻居 是 个 奇怪 的 人 一个 金发 的 外国人 却说 着 流利 的 普通话 他 的 出现 和 消失 都 是 个 迷 我 至今 都 忘不了 他   那天 我 隔壁 空 房里 突然 传来 了 手风琴 的 声音 推 门 进去 一个 金发 的 中年男子 坐在 角落 弹奏 身形 瘦削 背 有些 微弓 但 看得出 他 尽力 坐 的 笔直 一副 金框 的 眼镜 有些 格不入 我 有些 尴尬 他 却 彬 有 礼 跟 我 点头 致意 说弹 的 不好 请 见谅 待 他 一曲 奏 完 他 起身 倒 了 杯水 端 给 入神 的 我 说 他 叫 老唐   老唐 从不 提起 他 的 身世 我们 也 曾 怀疑 过 他 是 间谍 之类 但是 居委会 王 阿姨 却 告诉 我们 他 有 党籍 我 那时 还 小 平时 放学 经常 去 听 老 唐拉 手风琴 老唐 每次 都 起身 给 我 拿 吃 的 整 我 胸前 的 红领巾 再 继续 演奏   印象 最深 的 是 有 一天 楼上 李奶 买菜 回来 发现 家 着火 了 李奶 在 门口 又 急 又 惊 说 自己 的 猫 还 在 屋里 老唐 听罢 拎 起 灭火器 冲 了 进去 他 出来 的 时候 手 和 脸 已经 被 熏 的 乌黑 连 眼镜 都 黑 了 怀里 抱 着 奄 一息 的 小猫 我 只 记得 那天 消防员 叔 把 楼上 喷 的 满 是 泡沫 还有 老唐 突然 变黑 的 脸 后来 老唐 从 医院 回来 了 但是 他 的 皮肤 变 的 蜡黄 只有 眼镜 遮挡 的 部分 还是 原来 的 肤色 我 当时 还 笑 他 是 熊猫   他 消失 那天 是 个 秋天 我 记得 有 一天 我 又 去 他家 听 他 演奏 但是 一 进门 就 发现 他 没 戴眼镜 因为 他 的 熊猫眼 格外 显眼 那天 我 吃 面包 把 碎屑 掉 在 了 红领巾 上 他 笑 着 摇头 整理 好 我 的 红领巾 突然 严肃 地说 答应 我 不要 对不起 红领巾 我 愣住 了 他 又 恢复 了 微笑 说 了 句 我 也 是 他 开始 背对着 我拉着 琴 有 一丝 微 颤抖 窗边 落叶 飘 进来 一片 他 捡起来 小心 放进 琴 盒里 却 又 摇 了 摇头 把 它 拿 出来 轻 丢 出 窗外 后来 发生 什么 我 记不起 了   后来 我 再也 没见 过 他 连 居委会 王 阿姨 都 不 知道 他 去 了 哪里,邻居 奇怪 金发 外国人 却说 流利 普通话 消失 迷 忘不了 那天 隔壁 空 房里 传来 手风琴 声音 推 门 金发 中年男子 坐在 角落 弹奏 身形 瘦削 背 微弓 看得出 尽力 坐 笔直 一副 金框 眼镜 格不入 尴尬 彬 礼 点头 致意 说弹 不好 请 见谅 一曲 奏 完 起身 倒 杯水 端 入神 说 老唐 老唐 提起 身世 怀疑 间谍 居委会 王 阿姨 告诉 党籍 平时 放学 听 老 唐拉 手风琴 老唐 每次 起身 吃 整 胸前 红领巾 演奏 印象 最深 楼上 李奶 买菜 回来 发现 家 着火 李奶 门口 急 惊 说 猫 屋里 老唐 听罢 拎 灭火器 手 脸 熏 乌黑 眼镜 黑 怀里 抱 奄 一息 小猫 记得 那天 消防员 叔 楼上 喷 满 泡沫 老唐 变黑 脸 老唐 医院 回来 皮肤 变 蜡黄 眼镜 遮挡 肤色 笑 熊猫 消失 那天 秋天 记得 他家 听 演奏 进门 发现 没 戴眼镜 熊猫眼 显眼 那天 吃 面包 碎屑 掉 红领巾 笑 摇头 整理 红领巾 严肃 地说 答应 对不起 红领巾 愣住 恢复 微笑 说 句 背对着 我拉着 琴 一丝 微 颤抖 窗边 落叶 飘 捡起来 小心 放进 琴 盒里 摇 摇头 轻 丢 出 窗外 发生 记不起 再也 没见 居委会 王 阿姨
从此美国再也没有一位总统，像他一样，三句不离“China”，[热词系列_泪目],从此美国再也没有一位总统像他一样三句不离China热词系列泪目,从此 美国 再也 没有 一位 总统 像 他 一样 三句不离 China 热词 系列 泪目,美国 再也 一位 总统 三句不离 China 热词 系列 泪目
泪目，美国没了他就不在伟大了,泪目美国没了他就不在伟大了,泪目 美国 没 了 他 就 不 在 伟大 了,泪目 美国 没
不会吧 可别真的有nt认为拜登任职是件好事 川普 令整个美国针对我们  拜登 会令整个世界针对我们,不会吧 可别真的有nt认为拜登任职是件好事 川普 令整个美国针对我们 拜登 会令整个世界针对我们,不会 吧   可 别 真的 有 nt 认为 拜登 任职 是 件 好事   川普   令 整个 美国 针对 我们   拜登   会令 整个 世界 针对 我们,真的 nt 拜登 任职 件 好事 川普 令 美国 拜登 会令 世界
川宝打破了中国人对美国野心狼的仅存幻想，核心的东西不能买来的，要靠自己握在手里，拜登那都是笑里藏刀，我觉得还是川宝好,川宝打破了中国人对美国野心狼的仅存幻想核心的东西不能买来的要靠自己握在手里拜登那都是笑里藏刀我觉得还是川宝好,川宝 打破 了 中国 人 对 美国 野心 狼 的 仅存 幻想 核心 的 东西 不能 买来 的 要 靠 自己 握 在 手里 拜登 那 都 是 笑里藏刀 我 觉得 还是 川宝 好,川宝 打破 中国 美国 野心 狼 仅存 幻想 核心 东西 买来 握 手里 拜登 笑里藏刀 川宝
公知和精美要复活了，大行其道了,公知和精美要复活了大行其道了,公知 和 精美 要 复活 了 大行其道 了,公知 精美 复活 大行其道
再见，川宝！妈妈永远爱你！,再见川宝妈永远爱你,再见 川宝妈 永远 爱 你,再见 川宝妈 永远 爱
